BuildingID,Longitude,Latitude,OccupancyType,OccupancyGroup,SOID,StructureValue,ContentValue,GroundElevation_ft,FFE_ft,DFE_Status,ManufRestriction,OccupancyFallback,ElevationEligible
47604,-72.4338,40.8808,RES1,RES,R12N,317233,158616.5,21.3308,21.8308,Above DFE,0,0,0
47605,-72.4252,40.88194,RES1,RES,R11B,133238.2,66619.1,22.6378,24.6378,Above DFE,0,0,0
47606,-72.4276,40.87721,RES1,RES,R11N,133133.2,66566.61,18.0387,18.5387,Above DFE,0,0,0
47607,-72.4308,40.87898,RES1,RES,R12N,371528.8,185764.4,21.2995,21.7995,Above DFE,0,0,0
47608,-72.4345,40.884,RES1,RES,R12N,254392.4,127196.2,22.2405,22.7405,Above DFE,0,0,0
47609,-72.4367,40.87669,RES1,RES,R12N,265594.3,132797.1,12.1056,13.6056,Above DFE,0,0,0
47610,-72.4225,40.87292,RES1,RES,R12N,201102.8,100551.4,9.0177,10.5177,Under DFE,0,0,0
47611,-72.4311,40.87685,RES1,RES,R12B,280048.8,140024.4,16.3792,18.3792,Above DFE,0,0,0
47612,-72.4361,40.87729,RES1,RES,R12N,186751.1,93375.56,8.8831,10.3831,Under DFE,0,0,0
47613,-72.4365,40.88248,RES1,RES,R12N,566065.4,283032.7,18.6754,20.1754,Above DFE,0,0,0
47614,-72.4222,40.87638,RES1,RES,R11N,217091.6,108545.8,13.7242,15.2242,Above DFE,0,0,0
47615,-72.4241,40.8783,RES1,RES,R12N,323321.8,161660.9,14.4416,15.9416,Above DFE,0,0,0
47616,-72.4268,40.87867,RES1,RES,R11B,217423.8,108711.9,21.4436,23.4436,Above DFE,0,0,0
47617,-72.4348,40.87624,RES2,RES,R21N,281521.3,140760.7,15.8955,17.3955,Above DFE,0,0,0
47618,-72.4352,40.88275,RES1,RES,R12N,280952.8,140476.4,19.9192,21.4192,Above DFE,0,0,0
47619,-72.4218,40.87541,RES1,RES,R12N,368466.3,184233.1,11.353,12.853,Above DFE,0,0,0
47620,-72.4255,40.87635,RES1,RES,R11N,161527.3,80763.65,17.6276,18.1276,Above DFE,0,0,0
47621,-72.4263,40.88178,RES1,RES,R13B,373335.3,186667.7,23.7715,25.7715,Above DFE,0,0,0
47622,-72.428,40.86678,RES1,RES,R13N,596805.7,298402.9,7.8882,8.3882,Under DFE,0,0,1
47623,-72.4321,40.86989,RES1,RES,R11N,108556.2,54278.08,8.4181,9.9181,Under DFE,0,0,0
55283,-72.4354,40.88486,RES1,RES,R11N,186374.5,93187.25,4.141,5.641,Under DFE,0,0,1
55438,-72.4346,40.88531,COM8,NONRES,C8LB,435466.6,217733.3,9.4179,9.9179,Under DFE,0,0,0
55488,-72.4355,40.88507,RES1,RES,R11B,118085.8,59042.88,5.6434,7.6434,Under DFE,0,0,1
10001,-72.4304,40.87155,EDU1,NONRES,E1MB,1219627,609813.8,13.6398,15.6398,Above DFE,0,0,0
10002,-72.4238,40.87056,AGR1,NONRES,A1LB,392202,196101,7.8901,8.3901,Under DFE,0,0,1
10003,-72.431,40.87145,RES1,RES,R12B,285356.3,142678.1,13.6398,15.6398,Above DFE,0,0,0
10004,-72.4323,40.87312,RES1,RES,R12N,86767.07,43383.54,10.9379,11.4379,Above DFE,0,0,0
10005,-72.4239,40.88394,RES1,RES,R11N,179857,89929,21.06,25.06,Above DFE,0,0,0
10007,-72.4322,40.87054,RES3B,RES,R3B1N,317296,158648,9.68,12.68,Above DFE,0,0,0
10008,-72.4289184808731,40.8741214048541,RES1,RES,R11N,170427,85214,13.93,16.93,Above DFE,0,0,0
10009,-72.4336,40.88515,COM8,NONRES,C8LB,1330690,665345,16.94,19.94,Above DFE,0,0,0
10010,-72.4355,40.87613,RES2,RES,R21N,151016,75508,16.32,16.82,Above DFE,0,0,0
10011,-72.4348,40.87917,RES1,RES,R12B,198380,99190,19.12,22.12,Above DFE,0,0,0
10012,-72.4296,40.8832,COM1,NONRES,C1LB,1003373,501687,24.51,28.51,Above DFE,0,0,0
10013,-72.4364742636681,40.8722331702987,RES2,RES,R21N,228925,114463,11.26,14.26,Above DFE,0,0,0
10014,-72.4277,40.87137,RES1,RES,R12N,256992,128496,11.1,16.1,Above DFE,0,0,0
10015,-72.4346,40.88183,RES1,RES,R11N,212504,106252,18.88,21.88,Above DFE,0,0,0
10016,-72.4312,40.87141,IND2,NONRES,I2LN,126044,63022,10.35,10.35,Under DFE,0,0,0
10017,-72.4312,40.88279,RES1,RES,R11N,250733,125367,27.11,28.11,Above DFE,0,0,0
