Category,TargetYear,Action,SLR,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P25,P50,P75,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99
RES_InFP,2100,WFP 1st,50th-percentile,16553.3907929978,17987.8035455792,19113.8613475874,20052.1401579318,20466.5156382641,21148.3842371262,21693.944102366,22174.2346954611,22684.6717694902,23046.7174287713,27659.3812978896,34239.5188723116,42610.7707196744,54981.2166892122,57702.3394847012,63955.2944408635,74416.6002574818,86178.5104901357,94884.8636947802,128993.758976392,170189.208027466,263244.143422818,389337.351389866
RES_InFP,2100,WFP 1st,90th-percentile,69687.2220307655,72583.666449203,74817.9510378214,75865.4248102365,77006.6139938076,78016.4817163095,78631.378359114,79682.5361028225,80307.4103951829,80605.2616813652,87913.9995576339,98147.6943442683,111760.64422741,142200.281980071,150584.503610542,159524.613169106,170799.330337126,195892.759425174,212297.252425135,222929.625551389,241814.448392672,303509.128676101,434208.463047421
RES_OutFP,Potential,No mitigation,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_OutFP,Potential,No mitigation,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_OutFP,Potential,Raise Utilities,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_OutFP,Potential,Raise Utilities,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_OutFP,Potential,WFP B,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_OutFP,Potential,WFP B,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_OutFP,Potential,Elevate,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_OutFP,Potential,Elevate,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_OutFP,Potential,WFP 1st,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_OutFP,Potential,WFP 1st,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_OutFP,2040,No mitigation,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,77419.2130766428,129050.968182596,192837.374958308,351761.835252703,560385.409328101,921246.741702081,1197989.39199333,1702554.14884794,2814758.20163968,4805819.31770055
RES_OutFP,2040,No mitigation,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,129472.498894844,207024.182307948,294871.216438292,427455.284905568,596470.337044985,821673.705955635,1136444.09343944,2201897.21716468,3476034.13512519,9210669.22947503
