id,occupancy_type,building_type,number_of_stories,area,foundation_type,foundation_height,year_built,ground_elevation,address,longitude,latitude,structure_value,content_value,FFE_ft,Floodplain_Status,TargetYear,Scenario,Action,CumEAD_P05,CumEAD_P50,CumEAD_P95
579512988,RES1-2SNB,W,2,2456.8,S,0.5,1980,11.561717474699,NaN,-77.00354466,37.578407078,197181.016,98590.5081,12.061717474699,Out of floodplain,2040,P50,Baseline,0,0,0
579512988,RES1-2SNB,W,2,2456.8,S,0.5,1980,11.561717474699,NaN,-77.00354466,37.578407078,197181.016,98590.5081,12.061717474699,Out of floodplain,2040,P50,Raise Utilities,0,0,0
579512988,RES1-2SNB,W,2,2456.8,S,0.5,1980,11.561717474699,NaN,-77.00354466,37.578407078,197181.016,98590.5081,12.061717474699,Out of floodplain,2040,P50,WFP B,0,0,0
579512988,RES1-2SNB,W,2,2456.8,S,0.5,1980,11.561717474699,NaN,-77.00354466,37.578407078,197181.016,98590.5081,12.061717474699,Out of floodplain,2040,P50,Elevate,0,0,0
579512988,RES1-2SNB,W,2,2456.8,S,0.5,1980,11.561717474699,NaN,-77.00354466,37.578407078,197181.016,98590.5081,12.061717474699,Out of floodplain,2040,P50,WFP 1st,0,0,0
579512988,RES1-2SNB,W,2,2456.8,S,0.5,1980,11.561717474699,NaN,-77.00354466,37.578407078,197181.016,98590.5081,12.061717474699,Out of floodplain,2040,P90,Baseline,0,0,0
579512988,RES1-2SNB,W,2,2456.8,S,0.5,1980,11.561717474699,NaN,-77.00354466,37.578407078,197181.016,98590.5081,12.061717474699,Out of floodplain,2040,P90,Raise Utilities,0,0,0
579512988,RES1-2SNB,W,2,2456.8,S,0.5,1980,11.561717474699,NaN,-77.00354466,37.578407078,197181.016,98590.5081,12.061717474699,Out of floodplain,2040,P90,WFP B,0,0,0
579512988,RES1-2SNB,W,2,2456.8,S,0.5,1980,11.561717474699,NaN,-77.00354466,37.578407078,197181.016,98590.5081,12.061717474699,Out of floodplain,2040,P90,Elevate,0,0,0
579512988,RES1-2SNB,W,2,2456.8,S,0.5,1980,11.561717474699,NaN,-77.00354466,37.578407078,197181.016,98590.5081,12.061717474699,Out of floodplain,2040,P90,WFP 1st,0,0,0
579512988,RES1-2SNB,W,2,2456.8,S,0.5,1980,11.561717474699,NaN,-77.00354466,37.578407078,197181.016,98590.5081,12.061717474699,Out of floodplain,2055,P50,Baseline,0,0,0
579512988,RES1-2SNB,W,2,2456.8,S,0.5,1980,11.561717474699,NaN,-77.00354466,37.578407078,197181.016,98590.5081,12.061717474699,Out of floodplain,2055,P50,Raise Utilities,0,0,0
579512988,RES1-2SNB,W,2,2456.8,S,0.5,1980,11.561717474699,NaN,-77.00354466,37.578407078,197181.016,98590.5081,12.061717474699,Out of floodplain,2055,P50,WFP B,0,0,0
579512988,RES1-2SNB,W,2,2456.8,S,0.5,1980,11.561717474699,NaN,-77.00354466,37.578407078,197181.016,98590.5081,12.061717474699,Out of floodplain,2055,P50,Elevate,0,0,0
579512988,RES1-2SNB,W,2,2456.8,S,0.5,1980,11.561717474699,NaN,-77.00354466,37.578407078,197181.016,98590.5081,12.061717474699,Out of floodplain,2055,P50,WFP 1st,0,0,0
579512988,RES1-2SNB,W,2,2456.8,S,0.5,1980,11.561717474699,NaN,-77.00354466,37.578407078,197181.016,98590.5081,12.061717474699,Out of floodplain,2055,P90,Baseline,0,0,6341.38008759687
579512988,RES1-2SNB,W,2,2456.8,S,0.5,1980,11.561717474699,NaN,-77.00354466,37.578407078,197181.016,98590.5081,12.061717474699,Out of floodplain,2055,P90,Raise Utilities,0,0,0
579512988,RES1-2SNB,W,2,2456.8,S,0.5,1980,11.561717474699,NaN,-77.00354466,37.578407078,197181.016,98590.5081,12.061717474699,Out of floodplain,2055,P90,WFP B,0,0,0
579512988,RES1-2SNB,W,2,2456.8,S,0.5,1980,11.561717474699,NaN,-77.00354466,37.578407078,197181.016,98590.5081,12.061717474699,Out of floodplain,2055,P90,Elevate,0,0,6341.38008759687
579512988,RES1-2SNB,W,2,2456.8,S,0.5,1980,11.561717474699,NaN,-77.00354466,37.578407078,197181.016,98590.5081,12.061717474699,Out of floodplain,2055,P90,WFP 1st,0,0,0
579512988,RES1-2SNB,W,2,2456.8,S,0.5,1980,11.561717474699,NaN,-77.00354466,37.578407078,197181.016,98590.5081,12.061717474699,Out of floodplain,2100,P50,Baseline,0,19923.3492679267,144830.970334214
579512988,RES1-2SNB,W,2,2456.8,S,0.5,1980,11.561717474699,NaN,-77.00354466,37.578407078,197181.016,98590.5081,12.061717474699,Out of floodplain,2100,P50,Raise Utilities,0,0,112599.467787296
579512988,RES1-2SNB,W,2,2456.8,S,0.5,1980,11.561717474699,NaN,-77.00354466,37.578407078,197181.016,98590.5081,12.061717474699,Out of floodplain,2100,P50,WFP B,0,0,97649.5569124909
579512988,RES1-2SNB,W,2,2456.8,S,0.5,1980,11.561717474699,NaN,-77.00354466,37.578407078,197181.016,98590.5081,12.061717474699,Out of floodplain,2100,P50,Elevate,0,19923.3492679267,144830.970334214
579512988,RES1-2SNB,W,2,2456.8,S,0.5,1980,11.561717474699,NaN,-77.00354466,37.578407078,197181.016,98590.5081,12.061717474699,Out of floodplain,2100,P50,WFP 1st,0,0,0
579512988,RES1-2SNB,W,2,2456.8,S,0.5,1980,11.561717474699,NaN,-77.00354466,37.578407078,197181.016,98590.5081,12.061717474699,Out of floodplain,2100,P90,Baseline,64163.5646724996,169603.939128193,331808.867327112
579512988,RES1-2SNB,W,2,2456.8,S,0.5,1980,11.561717474699,NaN,-77.00354466,37.578407078,197181.016,98590.5081,12.061717474699,Out of floodplain,2100,P90,Raise Utilities,11676.750569529,68994.3215419356,202261.068785856
579512988,RES1-2SNB,W,2,2456.8,S,0.5,1980,11.561717474699,NaN,-77.00354466,37.578407078,197181.016,98590.5081,12.061717474699,Out of floodplain,2100,P90,WFP B,0,34483.9102290082,146758.227412381
579512988,RES1-2SNB,W,2,2456.8,S,0.5,1980,11.561717474699,NaN,-77.00354466,37.578407078,197181.016,98590.5081,12.061717474699,Out of floodplain,2100,P90,Elevate,64163.5646724996,169603.939128193,331808.867327112
579512988,RES1-2SNB,W,2,2456.8,S,0.5,1980,11.561717474699,NaN,-77.00354466,37.578407078,197181.016,98590.5081,12.061717474699,Out of floodplain,2100,P90,WFP 1st,0,0,0
579512989,RES1-2SNB,W,2,3840.76,S,0.5,1980,12.3808832200623,NaN,-77.00291521,37.575838016,267814.752,133907.376,12.8808832200623,Out of floodplain,2040,P50,Baseline,0,0,0
579512989,RES1-2SNB,W,2,3840.76,S,0.5,1980,12.3808832200623,NaN,-77.00291521,37.575838016,267814.752,133907.376,12.8808832200623,Out of floodplain,2040,P50,Raise Utilities,0,0,0
579512989,RES1-2SNB,W,2,3840.76,S,0.5,1980,12.3808832200623,NaN,-77.00291521,37.575838016,267814.752,133907.376,12.8808832200623,Out of floodplain,2040,P50,WFP B,0,0,0
579512989,RES1-2SNB,W,2,3840.76,S,0.5,1980,12.3808832200623,NaN,-77.00291521,37.575838016,267814.752,133907.376,12.8808832200623,Out of floodplain,2040,P50,Elevate,0,0,0
579512989,RES1-2SNB,W,2,3840.76,S,0.5,1980,12.3808832200623,NaN,-77.00291521,37.575838016,267814.752,133907.376,12.8808832200623,Out of floodplain,2040,P50,WFP 1st,0,0,0
579512989,RES1-2SNB,W,2,3840.76,S,0.5,1980,12.3808832200623,NaN,-77.00291521,37.575838016,267814.752,133907.376,12.8808832200623,Out of floodplain,2040,P90,Baseline,0,0,0
579512989,RES1-2SNB,W,2,3840.76,S,0.5,1980,12.3808832200623,NaN,-77.00291521,37.575838016,267814.752,133907.376,12.8808832200623,Out of floodplain,2040,P90,Raise Utilities,0,0,0
579512989,RES1-2SNB,W,2,3840.76,S,0.5,1980,12.3808832200623,NaN,-77.00291521,37.575838016,267814.752,133907.376,12.8808832200623,Out of floodplain,2040,P90,WFP B,0,0,0
579512989,RES1-2SNB,W,2,3840.76,S,0.5,1980,12.3808832200623,NaN,-77.00291521,37.575838016,267814.752,133907.376,12.8808832200623,Out of floodplain,2040,P90,Elevate,0,0,0
579512989,RES1-2SNB,W,2,3840.76,S,0.5,1980,12.3808832200623,NaN,-77.00291521,37.575838016,267814.752,133907.376,12.8808832200623,Out of floodplain,2040,P90,WFP 1st,0,0,0
579512989,RES1-2SNB,W,2,3840.76,S,0.5,1980,12.3808832200623,NaN,-77.00291521,37.575838016,267814.752,133907.376,12.8808832200623,Out of floodplain,2055,P50,Baseline,0,0,0
579512989,RES1-2SNB,W,2,3840.76,S,0.5,1980,12.3808832200623,NaN,-77.00291521,37.575838016,267814.752,133907.376,12.8808832200623,Out of floodplain,2055,P50,Raise Utilities,0,0,0
