Category,TargetYear,Action,SLR,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P25,P50,P75,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99
RES_InFP,Potential,No mitigation,50th-percentile,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RES_InFP,Potential,No mitigation,90th-percentile,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RES_OutFP,Potential,WFP B,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_OutFP,Potential,Elevate,50th-percentile,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RES_OutFP,Potential,Elevate,90th-percentile,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RES_OutFP,Potential,WFP 1st,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_OutFP,Potential,WFP 1st,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_OutFP,2040,No mitigation,50th-percentile,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RES_OutFP,2040,No mitigation,90th-percentile,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RES_OutFP,2040,Raise Utilities,50th-percentile,0,0,0,0,0,0,5265.62173069815,5763.42378170914,11220.6122817884,14138.0397130324,254774.536190105,1574373.77568416,6660839.65292181,15971199.4885565,17690303.8574142,20628794.1624334,23375782.2597896,29274321.2793815,37636492.7090367,42874499.5949115,57621380.5634452,96119588.5951906,146068032.218857
RES_OutFP,2040,Raise Utilities,90th-percentile,0,0,5051.67042762551,6140.06922773284,11450.9264436892,19820.9981749765,34466.0099692803,43230.6290070019,62936.5192242289,70411.377154036,418357.261368578,2311457.46500085,7609263.95512518,21201472.4670136,22571932.4543334,25406795.4132065,30164376.0029044,33377494.3152819,40676767.6366345,48728680.5691646,69560668.4950889,136152290.448249,233276001.367327
RES_OutFP,2040,WFP B,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17260.3563231715,405148.384647298,2877731.1137236,5354750.67335476,9801747.22180905,31714800.7759648,72345662.7482437
RES_OutFP,2040,WFP B,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8459.08029324202,139862.170955814,542127.353352647,1483834.84362641,3043146.83718853,7862706.00402292,20388992.305937,67078197.9825982,140898208.932303
RES_OutFP,2040,Elevate,50th-percentile,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RES_OutFP,2040,Elevate,90th-percentile,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RES_OutFP,2040,WFP 1st,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_OutFP,2040,WFP 1st,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_OutFP,2055,No mitigation,50th-percentile,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RES_OutFP,2055,No mitigation,90th-percentile,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RES_OutFP,2055,Raise Utilities,50th-percentile,261077.545496974,436405.098620486,584310.209764049,726140.436294746,887024.482760166,1003639.86362448,1180183.05809323,1291512.91101108,1417403.50566769,1520130.79968984,4122895.17274028,10043193.0882825,21513916.8781385,48714473.7559979,52645774.7346794,59472512.7801957,65590987.1820479,73440897.7364537,84030022.9770681,104780019.280892,145957458.382678,189921001.577011,421815899.33316
