Category,TargetYear,Action,SLR,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P25,P50,P75,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99
RES_UnderDFE,2040,Raise Utilities,90th-percentile,297237.078963748,409733.555562764,464999.038921346,513177.056930239,566383.108398312,620042.28587811,660654.728618711,698907.460503004,722758.741932463,752636.59610877,1085628.28137719,1639244.91654376,2250436.23961557,3003694.51170929,3092432.25648734,3198699.81347293,3325922.86791047,3463926.55258922,3608520.70827085,3767055.44900718,4098173.87174972,4552904.95011543,5175578.49225236
RES_UnderDFE,2040,WFP B,50th-percentile,968992.45555145,1064383.28004597,1094808.69985188,1119361.48434274,1138832.81270494,1161135.57864255,1183827.41529149,1216480.2554197,1231943.78166194,1254120.99894756,1468249.29644796,1778191.49210763,2160342.28657666,2720609.66648147,2803622.56250965,2888786.79001016,2991860.55297586,3105657.58404974,3313992.68751268,3515054.33354097,3966064.70073032,4424384.06794296,4884530.68664242
RES_UnderDFE,2040,WFP B,90th-percentile,992568.454756065,1043890.45598798,1090394.23182409,1132328.08294791,1169179.49664305,1193126.28771603,1217008.52686265,1251974.31892634,1263395.87488267,1282790.03953396,1477489.0653604,1785636.61840314,2168638.98679315,2759382.21008384,2828122.43683772,2914761.72873742,3008244.98801393,3132165.98049764,3257197.96764669,3466448.15056556,4080516.32587956,4513281.39725724,5036373.30517344
RES_UnderDFE,2040,Elevate,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198357.747674096,453258.873767487,763523.792022596,1439351.15058391,1878608.5743384
RES_UnderDFE,2040,Elevate,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40206.9089094587,425383.884454757,1113597.00821378,1641593.61430561,2422813.48772619
RES_UnderDFE,2040,WFP 1st,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_UnderDFE,2040,WFP 1st,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_UnderDFE,2055,No mitigation,50th-percentile,6469571.73682241,6903989.42153599,7196935.97750367,7348000.19398312,7569965.98735812,7832445.7358237,8019116.72047997,8163539.10385046,8263458.63497311,8433992.66677589,9615270.68570713,10918226.7098876,12414019.8874218,14184720.6532233,14353894.1754043,14522716.0326438,14804764.5004856,15031524.8243765,15447229.7086468,15811699.0940612,16255233.5527966,16892392.5658664,17770764.2529522
RES_UnderDFE,2055,No mitigation,90th-percentile,7224631.65644038,7782405.70851825,8221183.497529,8570765.74713761,8770281.67063495,8868649.09478693,9035553.65916153,9140343.4722666,9247110.16377213,9366511.85852869,10464657.1656773,11967649.0730655,13732479.4008603,15410162.4365459,15565310.7752668,15806276.368916,16007168.608062,16336023.6567718,16574398.8377086,16768240.4344424,17287388.8512699,17864774.7330654,19220538.9486557
RES_UnderDFE,2055,Raise Utilities,50th-percentile,2906926.82857007,3147368.83372056,3326189.94856101,3465573.83658306,3622373.34491368,3743325.03330787,3884984.84370805,3974855.21346339,4056616.64287161,4163961.52940076,4978761.89873669,5860565.74778632,6938053.26045264,8254793.33646839,8347361.10909267,8498852.32711459,8666284.5163835,8822468.89012127,9156069.63898396,9783479.78968429,10151422.8206216,10639440.7061812,11095786.0997654
RES_UnderDFE,2055,Raise Utilities,90th-percentile,3416440.70435446,3755916.53837683,4018236.77605404,4291892.34053886,4377588.33025357,4474564.87678697,4556579.00392046,4629528.14919706,4715119.97101135,4794459.76892285,5513184.7260307,6551646.53615102,7837953.65873299,9042844.64313353,9150352.43045459,9358329.75324024,9689175.11026006,9858545.0982451,10123113.6804581,10324393.8648929,10715317.7954728,11082774.9476746,12050358.4465194
RES_UnderDFE,2055,WFP B,50th-percentile,3454494.58012385,3619065.98181912,3738605.05631237,3810942.29632561,3901269.71100426,3993985.01490011,4055128.34744348,4150272.85974112,4185977.13922228,4218091.25405071,4700243.02301288,5259306.67491478,6031040.18211224,7042104.99789212,7216080.32819429,7364728.22618532,7561493.15584572,7704093.03596801,8028133.75419132,8375677.85546685,8753386.55505659,9194104.22764909,10015491.2881351
RES_UnderDFE,2055,WFP B,90th-percentile,3748245.21931237,3946754.0757788,4094090.8838351,4244451.39870649,4346856.59998073,4388988.44685978,4434607.54896505,4492146.00219556,4548506.55919337,4590267.70813275,5020222.35083027,5659238.26763732,6568530.91518068,7689004.3395166,7860783.27340738,8043887.38219965,8200434.70972482,8469984.63490087,8637705.83921726,8773518.44078389,9088738.76088691,9565757.64918092,10364527.7449542
RES_UnderDFE,2055,Elevate,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,435837.757410655,540216.325224772,692641.348217133,858666.449686994,1246121.41553693,1416160.08498152,1640765.2126308,1991266.47561284,2384570.50245907,3318378.43506067
RES_UnderDFE,2055,Elevate,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,469125.907150829,579389.565470539,768078.197994185,1097903.17646653,1420801.40725509,1655889.36349141,1923752.69928587,2228006.04722279,2575763.52748104,3027197.27084742
RES_UnderDFE,2055,WFP 1st,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42372.5966883086
RES_UnderDFE,2055,WFP 1st,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521.124141916473,37170.2471193399
RES_UnderDFE,2100,No mitigation,50th-percentile,82492271.9308563,83682696.1079744,84560091.9540947,84937093.8366405,85298425.6373686,85766439.9564493,86162821.4503166,86525045.1085089,86881763.9932195,87050347.2054098,89623139.9596484,92502294.1232115,95663610.9777641,98986402.1884402,99268406.1616664,99648117.1954754,99938646.4781312,100504938.92623,101118890.646165,101853942.791387,102544532.654017,103363337.511456,104290538.47526
RES_UnderDFE,2100,No mitigation,90th-percentile,110809117.678882,111883842.009438,112307662.978815,112837735.769667,113029976.8931,113401157.709659,113666541.635647,114011363.41808,114288871.317733,114566788.771597,117359111.89727,120359661.888832,123424827.495253,126446259.74177,126796277.061701,127285518.423111,127964071.444234,128443790.088423,128862667.608823,129054736.08047,130035725.968797,130428654.257489,131868859.452687
RES_UnderDFE,2100,Raise Utilities,50th-percentile,55392190.2792622,56305335.5278307,56883454.7112955,57213577.1644559,57576805.0487044,57879289.3769588,58355965.467563,58500730.5288998,58697083.3664912,58967851.8736863,61003250.4294707,63484971.4001387,66203508.8176027,69018592.5776882,69364746.4509449,69680693.527024,69985562.9387408,70159092.9083167,70749539.0070398,71368071.6994215,71831783.636157,72512154.0201914,73470623.374419
RES_UnderDFE,2100,Raise Utilities,90th-percentile,79757728.1479361,80521951.5710045,81046013.0923232,81259558.5374519,81646572.0287405,81991376.089511,82213936.9203032,82586758.6703775,82769729.3612865,83014009.2263491,85295968.6022084,87969866.7623264,90514283.4007784,93254065.1899465,93627972.0637001,94087599.6675744,94406509.3608314,94775428.3834847,95199210.4282458,95693805.8923907,96198752.0458374,97010781.6673123,98047767.4632687
RES_UnderDFE,2100,WFP B,50th-percentile,45023471.4073961,45496032.1443732,45862475.2305378,46300008.6724376,46672932.259383,46851700.9670348,47099526.7972956,47390471.8219742,47591620.3028265,47911089.6051424,49820015.3758069,52283401.7339411,54794558.6628714,57526686.4846709,57792514.9419898,58011724.1001868,58372982.04469,58870076.1951297,59275247.9811296,59576269.3417997,59868501.7902009,60474350.9071041,62093252.4633854
RES_UnderDFE,2100,WFP B,90th-percentile,68353590.2026487,68742130.4616062,69414786.6811792,69820716.3043679,70056917.9570368,70427028.2419098,70754009.4357856,70974360.692266,71283523.3267045,71568539.9684146,73492273.3096137,76153936.012797,78563460.4670166,81345267.6198251,81635066.4021339,81859198.8522562,82434855.665404,82675036.3376036,83127643.5700412,83529445.8082624,84115319.1809695,85197887.5234762,86172542.6785314
RES_UnderDFE,2100,Elevate,50th-percentile,3383712.30512519,3767938.83105693,3965931.73745348,4250809.69185897,4461906.06070469,4628332.1031589,4697867.34925041,4772761.69275413,4946878.95756311,5120379.98550231,6340613.61158941,8079695.22863088,10214828.4878532,12017175.3401488,12241857.183347,12513584.116783,12718740.1515825,13027184.4182935,13256385.86117,13426200.6115782,13943232.414758,14423328.9894422,15067903.2627059
RES_UnderDFE,2100,Elevate,90th-percentile,17756726.7467114,18763343.5552688,19088347.9235479,19394012.875639,19754267.1394591,19891845.8975745,20063082.7902714,20237027.7833387,20452327.7836146,20672399.5372025,22346090.9784269,24527788.2035809,27051448.1733359,29259176.2377821,29413050.9841994,29730561.8424736,30035106.5797916,30254519.6935446,30736699.2776206,31227782.0722693,31802955.8289306,32205269.547454,33559970.4981653
RES_UnderDFE,2100,WFP 1st,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,45530.4993640547,68878.6361570094,95052.5777701907,136346.101699409,188916.350436927,247969.251364965,328641.913594943,518465.641022263,834645.724666528,1221978.02133846
RES_UnderDFE,2100,WFP 1st,90th-percentile,0,0,0,0,0,0,0,0,0,0,833.006340527805,13255.0200502131,49449.0694679497,195339.116215596,216703.199258807,242809.861176842,321082.198971046,405473.046283237,454766.540028445,513192.058486463,580232.459647173,786056.360530669,1228387.65159719
RES_AboveDFE,2025,No mitigation,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2501.44245562357,24004.0191083715
RES_AboveDFE,2025,No mitigation,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25323.4859827009,97478.9486720177
