Category,TargetYear,Action,SLR,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P25,P50,P75,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99
RES_InFP,2040,Elevate,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392892.612698722,1533818.99001514,3254105.85428311
RES_InFP,2040,WFP 1st,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_InFP,2040,WFP 1st,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_InFP,2055,No mitigation,50th-percentile,2864806.06659068,2984059.81234889,3142448.26897823,3229845.10298429,3321627.96865032,3392355.25502266,3441228.48820117,3487631.23610603,3539306.58830379,3630732.87591996,4313891.35217528,5389238.16478021,7040994.20386248,9589768.99491877,9831517.90970881,10072110.4530758,10506136.5599808,10804739.7754292,11422480.5044789,12278241.7667569,13377149.9600804,14275352.88892,16379970.5550616
RES_InFP,2055,No mitigation,90th-percentile,3697341.50744214,4002081.9343943,4105372.9718188,4214363.18488711,4363942.65249401,4494320.90374971,4565603.79460475,4634882.59767524,4694456.42241922,4765989.64057349,5613904.77541283,6931040.76710604,9158373.62046616,12276467.8245215,12612085.4208087,13045474.2676439,13488306.114595,13967101.0954705,14510268.2357214,14971946.9332716,15932162.3526276,17054460.3782025,18505420.7377694
RES_InFP,2055,Raise Utilities,50th-percentile,1055014.32129664,1124293.53922637,1250473.94670218,1307357.79348075,1354963.73646232,1394774.73969854,1430020.01916653,1465784.47386503,1511792.01272965,1561571.40786965,2020638.13196544,2738216.14487273,3929517.32272069,5985613.53136468,6166121.10547693,6409299.57667521,6757926.71065772,7128353.8162712,7808041.01387867,8392535.43227995,9322057.33617432,10389879.1171212,12285841.4234853
RES_InFP,2055,Raise Utilities,90th-percentile,1594986.55062556,1763572.54759043,1860535.34115953,1924784.2207198,2010699.58279561,2081852.31568104,2157824.39771435,2192527.45901615,2223388.59619449,2286610.27981559,2838947.62150482,3764320.66548601,5391162.92739548,7819543.64583615,8404395.33950439,8781295.86527145,9162959.78496053,9533851.82380827,10081374.3783146,10550669.0678441,11453857.2296783,12420157.4812717,13616518.8855156
RES_InFP,2055,WFP B,50th-percentile,419719.601536643,469311.960278439,555518.16303705,585105.809011071,638036.603333028,659926.661917787,683633.054794474,708235.698319876,742236.310915256,769199.677074403,1067957.41149646,1509183.04743148,2309852.75630065,3845167.96056193,4097632.59127732,4410783.06090074,4600214.46013591,5134609.14474754,5375100.40657205,6102528.21687492,6952966.53928295,8164906.99809771,9839881.48124499
RES_InFP,2055,WFP B,90th-percentile,814342.977944689,911068.2187319,974880.694202202,1010135.42018596,1084945.20021822,1128901.68697135,1174381.34594185,1199054.8769474,1225830.4444276,1259846.10492412,1611208.88796662,2204524.7640055,3354864.630523,5383075.1052889,5727403.89918928,6029827.38137886,6440127.91765545,6909483.3456661,7313808.01932814,8030806.25115906,8720596.55682993,9702118.4065304,10851252.6307551
RES_InFP,2055,Elevate,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10198.5399349326,435805.373841019,755126.766356397,953562.202103038,1540055.08992934,2412826.68159797,6952208.46503497
RES_InFP,2055,Elevate,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81621.2800338782,330109.794813201,693665.529834567,1056512.85001519,1599407.60588332,1974860.50449124,2400614.82947742,3333011.36677168,6461285.32638124
RES_InFP,2055,WFP 1st,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_InFP,2055,WFP 1st,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_InFP,2100,No mitigation,50th-percentile,19384387.4160728,20407027.345157,20966283.7023291,21423351.2481476,21883715.4731847,22494332.3837794,22809684.1982947,23081999.333443,23333598.1424781,23633018.2783862,26590397.1607701,30513303.2710614,35264209.8232001,39935706.306042,40501968.833257,41053451.2397974,41812102.4755719,42712179.2194223,43792871.3387219,44664844.6613419,45945495.8546479,47347553.7114336,48731271.8138307
RES_InFP,2100,No mitigation,90th-percentile,64912492.8990616,66030920.4359277,67289602.5643158,67890577.0827151,69173905.5855665,70083218.7418261,71040682.6915819,71763694.512084,72238789.469641,72679853.3095311,77403640.1587547,84698243.2770099,91648820.2674811,99488490.8884819,100310654.965171,101389554.302119,102554133.541055,103187590.696909,104046552.269045,105024074.922229,106475482.771195,109011930.370678,111846916.142342
RES_InFP,2100,Raise Utilities,50th-percentile,10644247.9392547,11266676.6070822,11693681.254717,12061691.6485997,12427979.821408,12805619.8619218,13074386.4647648,13179026.7537785,13416215.8464904,13635869.2766481,15839243.6256747,18860982.1030929,22589788.0896089,26885096.2629435,27310222.9627849,27822811.0109942,28245889.413987,28977400.509652,29929064.9280604,30672962.898688,32118499.7181523,33308488.7120334,34380979.3331283
RES_InFP,2100,Raise Utilities,90th-percentile,43737080.7694318,44707788.7048772,45510595.1984031,45889165.2391217,47133561.0407231,47996143.9349865,48689037.6199839,49275021.103053,49627102.8068506,50053244.4127957,54022232.733354,60147461.9990238,66688524.8528177,73571384.538242,74354144.3997324,74886821.3986539,76081542.8665531,76765233.4556565,77659926.0416678,78607388.3649413,79380191.5349114,81846470.0279373,84470403.6699953
RES_InFP,2100,WFP B,50th-percentile,6391385.83184782,6889842.73633377,7114742.95115919,7418487.88642019,7633383.40558055,7794304.72214801,8050539.72014466,8132055.76913838,8248781.67238226,8400048.22216507,9893996.33121471,12207585.8722743,15257857.4396548,18924188.9025354,19364036.975039,19885649.8844939,20321523.9516328,20778428.9317653,21570962.6383923,21960293.6785926,23135138.3569625,24162924.4060291,26510772.3877272
RES_InFP,2100,WFP B,90th-percentile,28966411.7601771,29784189.0861878,30414960.3021381,30803329.443877,31804260.8285099,32342486.3398426,32849014.3178396,33234535.9072149,33503714.9406229,33887017.4909625,37410592.293233,42459147.6156023,48326902.6543656,54159524.0023341,55292294.1901291,55879257.4217076,56685142.6494607,57093049.8214027,58010519.8975717,58681208.3800019,59564446.9434476,61337178.8787746,65233556.956018
RES_InFP,2100,Elevate,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,1036598.89176268,3373028.97092884,3903585.59236404,4739902.23342379,5321296.89900168,6595886.64006459,7404981.64518893,8274232.04578041,8547709.6456144,8657186.17622435,9593721.71417235
RES_InFP,2100,Elevate,90th-percentile,0,0,0,21332.9314637845,94582.3677216562,213093.012203658,263899.399688881,343328.20810902,404590.37416862,485278.300720435,1821842.34633184,3812249.94201167,7535342.18452509,11075451.1323252,11348747.7617083,11566752.6759924,12034024.9795578,12883572.1674062,13780514.1207063,14498387.2338711,15595700.2648367,16914679.4801776,20926416.8221229
RES_InFP,2100,WFP 1st,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132.35640958563,2869.05089417261
RES_InFP,2100,WFP 1st,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.545349363332,794.018345612967,1813.45231297243,5779.75186236514
RES_OutFP,Potential,No mitigation,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12500.7525548645,13965.8946250217,16965.1693677313,40354.8811341699,48731.4352718666
RES_OutFP,Potential,No mitigation,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12816.7096887744,13785.7262817103,40707.454460315,53586.1888382062,91251.610744617
