BuildingID,Longitude,Latitude,OccupancyType,OccupancyGroup,SOID,StructureValue,ContentValue,GroundElevation_ft,FFE_ft,DFE_Status,ManufRestriction,OccupancyFallback
7535288,-72.849277,40.750208,RES1-1SNB,RES,R11N,232995.96,116497.98,2.2499,2.7499,Under DFE,0,0
7535290,-72.849138,40.749939,RES1-1SNB,RES,R11N,265423,132711.5,2.6903,3.1903,Under DFE,0,0
7535292,-72.851874,40.748576,RES1-1SWB,RES,R11B,225379.43,112689.71,3.6253,5.6253,Under DFE,0,0
7535364,-72.852924,40.761095,RES1-1SNB,RES,R11N,194393.83,97196.91,11.1359,12.6359,Above DFE,0,0
7535366,-72.853545,40.761817,RES1-1SNB,RES,R11N,172419.23,86209.62,12.7258,14.2258,Above DFE,0,0
7535368,-72.852866,40.760884,RES1-3SNB,RES,R13N,578460.68,289230.34,11.1021,11.6021,Above DFE,0,0
7535370,-72.853261,40.760762,RES1-1SWB,RES,R11B,178145.86,89072.93,11.6069,13.6069,Above DFE,0,0
7535372,-72.8524634242058,40.7612439960346,RES1-1SWB,RES,R11B,233285.45,116642.72,11.3592,13.3592,Above DFE,0,0
7535374,-72.853099,40.760802,RES1-1SWB,RES,R11B,274576.46,137288.23,11.3479,13.3479,Above DFE,0,0
7535376,-72.853409,40.76155,RES1-2SWB,RES,R12B,430783.06,215391.53,13.5315,15.5315,Above DFE,0,0
7535378,-72.853543,40.761684,RES1-1SWB,RES,R11B,261345.75,130672.88,12.569,14.569,Above DFE,0,0
7535380,-72.853264,40.761402,RES1-1SNB,RES,R11N,219437.82,109718.91,12.4063,12.9063,Above DFE,0,0
7535544,-72.853801,40.753934,RES1-1SWB,RES,R11B,119306.06,59653.03,3.8675,5.8675,Under DFE,0,0
7535546,-72.853668,40.754056,RES1-1SWB,RES,R11B,226205.54,113102.77,5.0379,7.0379,Under DFE,0,0
7535548,-72.853841,40.753625,RES1-1SNB,RES,R11N,121847.83,60923.91,4.2739,4.7739,Under DFE,0,0
7535550,-72.853772,40.75317,RES1-2SNB,RES,R12N,295631.08,147815.54,4.8228,5.3228,Under DFE,0,0
7535552,-72.853483,40.753535,RES1-1SWB,RES,R11B,166878,83439,4.4066,6.4066,Under DFE,0,0
7535554,-72.853911,40.753773,RES1-1SWB,RES,R11B,123241.85,61620.92,4.2703,6.2703,Under DFE,0,0
7535556,-72.853822,40.753338,RES1-1SWB,RES,R11B,160524.93,80262.46,4.5218,6.5218,Under DFE,0,0
