BuildingID,Longitude,Latitude,OccupancyType,OccupancyGroup,SOID,StructureValue,ContentValue,GroundElevation_ft,FFE_ft,DFE_Status,ManufRestriction
579512986,-77.0000839233398,37.5774823761332,RES2,RES,R21N,173575.88,86787.94,14.83,16.83,Above DFE,1
579512987,-76.9972635,37.5749975,RES2,RES,R21N,158933.36,79466.68,5.7363,11.7363,Above DFE,1
579512988,-77.0036566257477,37.5784325711254,RES2,RES,R21N,197181.02,98590.51,11.82,13.82,Above DFE,1
579512989,-77.00291521,37.57583802,RES2,RES,R21N,267814.75,133907.38,12.33,13.83,Above DFE,1
579512990,-76.9990673661232,37.5750866405268,RES1,RES,R12N,246568.46,123284.23,8.79,10.79,Above DFE,0
579513006,-77.000773,37.572578,RES2,RES,R21N,183311.3,91655.65,8.3592,11.8592,Above DFE,1
579513007,-77.005322,37.5785765,RES2,RES,R21N,212466.58,106233.29,11.63,13.63,Above DFE,1
579513008,-77.00648336,37.5750528,REL1,NONRES,RE1LN,147011.75,73505.88,12.64,14.14,Above DFE,0
579513009,-77.0117381215096,37.576706480849,RES2,RES,R21N,231250.46,115625.23,11.83,13.83,Above DFE,1
579513010,-77.00576441,37.57842078,RES1,RES,R11N,187039.01,93519.5,12.07,13.07,Above DFE,0
579513011,-77.0018514990807,37.574633844214,RES2,RES,R21N,141073.85,70536.92,10.88,12.88,Above DFE,1
579513012,-77.00090556,37.57230673,RES4,RES,R4LN,140230.95,70115.47,7.5876,8.0876,Under DFE,1
579513013,-77.0066365599632,37.573475268344,RES1,RES,R11N,173299.91,86649.95,10.07,10.57,Above DFE,0
579513014,-76.99735141,37.57419176,RES4,RES,R4LN,263287.4,131643.7,6.3471,6.8471,Under DFE,1
579513015,-77.00848652,37.57710274,RES2,RES,R21N,322456.9,161228.45,11.06,13.06,Above DFE,1
579513016,-77.0001778006554,37.569535975563,RES2,RES,R21N,255593.18,127796.59,4.9322,6.9322,Under DFE,1
579513017,-77.0073698,37.57631952,RES4,RES,R4LN,234919.03,117459.51,10.44,10.94,Above DFE,1
579513018,-76.99326617,37.57446955,RES1,RES,R11N,260503.11,130251.55,8.25,8.75,Under DFE,0
579513019,-76.9995895,37.571748,RES2,RES,R21N,139255.01,69627.51,4.5299,8.0299,Under DFE,1
579513020,-77.0062771439552,37.5743383559338,RES2,RES,R21N,234068.41,117034.21,12.0861,14.0861,Above DFE,1
579513021,-77.00514793396,37.5725016255095,RES2,RES,R21N,151731.99,75865.99,7.27,10.27,Above DFE,1
579513022,-77.0100376009941,37.5787131633007,RES2,RES,R21N,175019.69,87509.85,10.7319,12.7319,Above DFE,1
579513023,-77.00658646,37.57741962,RES2,RES,R21N,243600.88,121800.44,9.79,11.79,Above DFE,1
579513024,-77.00383939,37.57942817,RES2,RES,R21N,192951.6,96475.8,10.38,12.38,Above DFE,1
579513025,-77.0059740543366,37.5728141279811,RES1,RES,R11N,167168.47,83584.23,8.67,10.17,Above DFE,0
579513026,-76.9926086068154,37.5759752187149,RES4,RES,R4LN,261843.66,130921.83,2.82,3.32,Under DFE,1
